id,flow_duration,packets_forward,packets_backward,bytes_forward,bytes_backward,packet_size_mean,packet_size_min,packet_size_max,packet_size_stddev,forward_packet_size_mean,backward_packet_size_mean,packets_per_second,bytes_per_second,forward_packets_per_second,backward_packets_per_second,interarrival_mean,interarrival_min,interarrival_max,interarrival_stddev,forward_interarrival_mean,backward_interarrival_mean,source_port,destination_port,protocol_tcp,protocol_udp,protocol_icmp,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_urg_count,syn_ack_ratio,packet_direction_ratio,byte_direction_ratio,initial_tcp_window,average_tcp_window,down_up_bytes_ratio,small_packet_ratio,large_packet_ratio,average_payload_length,bidirectional_flag,internal_to_internal,internal_to_external,external_to_internal,external_to_external,dest_port_is_wellknown,snapshot_index,label
v10-0001,8.2827,7.7841,10.6737,9.8932,6.6271,6.9355,13.6366,12.4312,9.45,9.4282,6.041,5.4613,14.125,12.7217,7.1159,6.4839,8.6884,8.8534,10.3938,12.2779,8.7967,33652,80,0,0,0,10.167,12.5412,7.9898,11.5579,11.3642,10.8943,7.3394,11.582,6.8333,13.6,8.7411,10.2257,7.1885,6.936,11.5966,1,0,1,1,0,0,0,normal
v10-0002,10.0457,11.1928,8.7984,15.4748,14.1101,14.8246,13.5255,11.4734,13.1027,11.5644,8.4189,12.871,14.4573,8.4434,6.507,10.7727,11.8409,6.7118,15.4062,5.2392,7.9289,42396,53,1,1,0,8.7891,13.6696,10.7872,14.4014,10.9701,8.3171,10.1745,9.5245,5.2015,6.9076,14.5066,8.8,13.0615,10.6166,5.2488,1,0,1,1,0,0,0,normal
v10-0003,8.0547,6.5978,13.677,8.45,9.8403,10.3986,15.3459,10.8761,11.8042,8.0628,6.6663,5.7008,2.9005,12.6665,12.3008,8.7598,8.3043,6.0796,7.1014,3.258,4.8195,29370,22,0,1,0,12.3693,6.0613,9.1083,8.3473,14.0818,13.1539,12.9253,6.363,15.9496,9.3354,12.2015,11.2436,9.6404,8.3227,10.5774,1,1,1,0,1,1,0,normal
v10-0004,8.0976,7.7573,14.4789,10.7604,9.31,13.6821,6.0588,12.6094,12.2518,8.1583,9.8166,10.2936,12.0678,6.599,10.9814,6.8667,11.6687,11.511,10.3418,3.8732,8.923,41463,443,1,1,0,7.8357,9.0211,9.4721,12.4891,9.0983,10.2249,10.603,12.6574,7.576,9.293,11.6248,3.6167,11.6034,9.6464,7.7719,1,0,0,0,1,0,0,normal
v10-0005,7.4499,13.1396,4.7544,8.2943,12.0461,9.9202,14.3913,8.7044,8.9834,9.1062,12.4049,8.5463,5.5874,4.6426,10.4156,7.0832,9.832,14.6445,7.4514,9.221,8.6403,44156,53,0,0,0,7.9341,12.4953,11.4034,9.0805,6.2773,5.4309,7.4149,10.1283,2.6025,4.1189,11.1298,8.6692,7.1639,12.0048,6.6709,0,1,0,1,0,0,0,normal
v10-0006,11.3587,9.4285,11.1582,7.2701,15.924,8.8269,12.0631,7.9316,8.6726,8.3795,9.6166,8.8557,17.1571,15.7831,8.1477,8.0869,11.1235,4.4271,12.0904,9.3389,9.5375,1106,53,0,0,0,12.0243,8.5815,10.1623,10.048,10.2729,9.2098,7.9026,11.4924,9.9031,7.2033,6.7146,8.247,7.5132,11.934,7.1318,0,0,1,1,0,1,0,normal
v10-0007,8.3909,7.5455,9.0597,12.4611,9.0855,18.4087,11.3565,9.2815,10.6424,12.6654,9.685,10.0166,7.2951,14.7288,6.8777,7.0797,11.5286,6.9626,6.9665,6.5923,9.134,24974,3389,1,0,0,14.2654,10.272,11.9514,12.4161,10.8733,15.8041,10.1462,11.8911,13.7074,5.4409,6.9866,9.8674,4.2846,6.0372,13.7097,1,0,0,0,1,1,0,normal
v10-0008,11.9542,6.2419,6.4931,10.9117,10.6635,5.1474,11.4409,11.489,11.2415,12.4568,4.2574,7.3498,10.5141,15.1914,5.527,9.0931,9.6593,12.872,11.3325,9.8271,6.6818,24980,80,1,0,1,9.4123,9.6166,6.7907,5.0196,8.1539,12,10.8963,7.2749,11.5322,11.47,4.3602,7.9129,3.0616,9.0082,11.0426,1,0,1,0,0,1,0,normal
v10-0009,13.6418,8.2239,11.3366,13.8307,7.5764,5.7745,10.5002,12.0669,14.1943,13.5905,6.7027,7.7001,8.5474,11.34,8.4001,3.6612,12.2055,10.5062,5.1719,9.1305,12.542,52493,443,1,0,1,10.6017,7.5027,8.3811,8.8941,13.1943,14.1015,9.9788,14.9273,7.5221,13.4424,9.2999,11.8795,11.2132,11.5053,11.9028,0,1,1,0,1,0,0,normal
v10-0010,70.7624,71.3233,68.8273,69.6645,69.9641,71.34,71.0307,61.7649,72.782,67.8457,73.7104,74.8187,74.3254,69.3124,74.3375,67.8351,72.3182,73.617,70.8343,67.3923,61.8502,35827,3389,1,0,0,69.6467,71.9479,76.5234,66.1439,65.152,69.8398,66.6538,69.5124,66.1457,71.6171,71.9887,69.6236,68.3995,71.9292,70.2368,1,1,1,0,0,1,0,suspicious
v10-0011,28.9618,20.2842,23.9239,19.8129,20.5181,24.0485,16.7822,22.9865,19.9144,21.4503,13.8952,22.9481,23.7709,16.9142,19.883,25.2684,19.7504,23.4267,26.438,18.582,17.8551,52508,80,0,1,1,20.368,19.4946,18.72,20.9368,23.3621,20.0821,20.0945,19.5405,23.2499,18.9375,17.5007,20.4903,23.6499,22.0438,18.6746,0,1,0,0,0,0,0,scan
v10-0012,10.8986,16.0342,12.663,7.2837,10.5583,8.8499,10.8279,11.887,11.4454,7.9968,12.1862,5.0814,10.0304,11.303,14.7375,7.9812,11.4734,13.6043,9.5567,12.9212,6.4831,59463,443,0,0,0,14.3732,15.7857,14.2962,5.9786,14.119,6.9672,8.9906,10.4015,11.49,6.1294,7.9525,5.8182,11.1609,9.9449,8.0303,0,0,0,1,0,0,0,normal
v10-0013,7.9741,9.0604,8.4519,12.4087,5.9731,9.1863,16.0345,8.8418,11.0697,9.6943,8.8468,13.3826,7.0979,3.2378,11.686,12.2823,11.2016,7.1828,11.6286,13.0854,8.4241,2581,22,0,0,0,12.404,8.1037,10.2898,8.5497,13.2237,8.7993,8.1952,4.5266,11.9355,8.0331,9.1187,16.8851,12.9677,13.1465,10.695,1,1,0,1,1,0,0,normal
