id,flow_duration,packets_forward,packets_backward,bytes_forward,bytes_backward,packet_size_mean,packet_size_min,packet_size_max,packet_size_stddev,forward_packet_size_mean,backward_packet_size_mean,packets_per_second,bytes_per_second,forward_packets_per_second,backward_packets_per_second,interarrival_mean,interarrival_min,interarrival_max,interarrival_stddev,forward_interarrival_mean,backward_interarrival_mean,source_port,destination_port,protocol_tcp,protocol_udp,protocol_icmp,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_urg_count,syn_ack_ratio,packet_direction_ratio,byte_direction_ratio,initial_tcp_window,average_tcp_window,down_up_bytes_ratio,small_packet_ratio,large_packet_ratio,average_payload_length,bidirectional_flag,internal_to_internal,internal_to_external,external_to_internal,external_to_external,dest_port_is_wellknown,snapshot_index,label
reviewed-anomalies-2026-09-0001,74.3465,74.2829,68.584,75.4288,73.8667,70.4992,67.6592,70.5582,69.5286,69.4516,63.5733,68.9584,61.9353,72.1283,70.6869,69.7115,73.3737,74.439,62.1243,66.1558,67.9214,13082,53,0,0,0,69.3165,73.897,68.4782,69.206,64.619,74.6114,70.7097,71.1365,66.8941,66.0307,71.8232,67.9506,73.9749,69.1648,65.6877,0,0,1,1,1,1,0,suspicious
reviewed-anomalies-2026-09-0002,51.365,45.3187,49.4824,51.1297,54.73,49.2735,46.5959,49.7442,49.2073,57.7526,55.693,51.4545,48.7657,44.552,46.0476,52.9864,51.5846,51.9475,51.4049,47.5992,48.45,31402,22,1,1,1,51.1037,50.996,44.3312,50.1716,48.5096,50.3219,49.4318,51.523,49.7373,47.8043,42.3357,53.789,51.1313,53.4773,47.3705,0,1,0,0,0,0,0,botnet_c2
reviewed-anomalies-2026-09-0003,14.6289,11.7921,4.9985,7.8429,9.9425,8.2776,16.6484,9.2454,6.3146,10.6507,8.9827,9.0137,12.9164,10.7772,7.9083,7.5232,9.6637,9.9568,9.7804,4.9745,10.5968,61862,443,1,1,1,8.6218,19.5036,7.9975,2.6457,11.2653,13.631,11.3645,8.0513,11.1244,11.288,12.2634,13.1644,10.0299,8.8562,3.6546,0,1,1,1,0,0,0,normal
reviewed-anomalies-2026-09-0004,66.087,70.7938,70.0328,70.959,71.3506,73.4217,70.0885,69.7779,75.6507,68.3547,72.5964,72.2565,67.3609,69.2636,66.0813,71.4007,68.2503,72.1801,71.9421,71.3351,67.8046,32978,3389,0,0,0,69.6332,73.3396,73.1389,64.9151,74.2777,64.8248,71.585,64.2166,73.0793,67.42,70.5063,74.037,71.7946,70.2341,68.539,1,0,1,1,0,1,0,suspicious
reviewed-anomalies-2026-09-0005,47.2012,52.8286,51.7386,48.3548,50.2128,47.9065,47.2367,48.1599,52.8214,47.468,50.8272,48.511,53.2719,47.882,51.6844,45.3957,48.2165,50.0712,45.8059,51.2659,47.7482,44536,3389,0,1,1,52.0894,51.6833,52.6192,47.3151,52.2471,43.2597,51.8418,53.5469,51.0061,50.7129,48.8484,45.5832,48.6012,51.4728,43.265,1,1,0,1,1,1,0,botnet_c2
reviewed-anomalies-2026-09-0006,2.3425,12.2547,11.8362,12.3784,10.9458,8.2954,8.6015,13.2375,9.1504,10.5433,8.9608,10.5595,11.6446,6.2097,11.5772,8.6431,12.2048,6.1256,5.2282,12.5125,6.9027,48210,22,1,1,1,6.6254,12.1924,10.5862,15.4928,16.7032,10.6034,10.8059,4.4667,3.7872,8.7634,12.231,10.4128,8.1146,2.7793,12.3518,1,1,0,0,1,0,0,normal
reviewed-anomalies-2026-09-0007,67.7723,71.712,67.6721,69.5117,76.7006,73.252,69.6852,70.4605,67.8335,69.5362,71.2041,66.8049,64.1446,71.8599,70.2527,75.7261,65.7302,69.5023,74.7989,75.9165,67.9945,26142,80,1,1,1,62.2185,65.4777,69.4827,69.7927,68.3642,72.338,71.9738,72.0675,71.5016,71.4587,69.9652,70.8501,65.1353,66.7162,72.0845,0,0,1,0,0,0,0,suspicious
reviewed-anomalies-2026-09-0008,43.7162,50.833,53.8601,46.3857,42.7857,48.7546,49.1907,51.1786,46.5208,49.3778,45.5784,47.1996,51.8007,50.9782,49.0612,51.639,47.3194,48.3105,50.0997,46.9656,48.3995,61729,3389,0,0,1,48.4162,49.738,45.1077,47.4563,41.51,47.467,50.8953,53.4648,50.7374,54.279,47.7839,45.7984,47.665,53.5664,50.0885,0,1,0,1,1,0,0,botnet_c2
reviewed-anomalies-2026-09-0009,15.7398,10.2368,12.2676,11.8933,10.5183,10.9596,7.2974,9.3079,11.7948,8.9756,13.3398,14.9026,9.8732,8.6077,11.6892,9.4451,11.2407,11.0873,10.3197,7.739,7.2661,1832,22,1,1,0,8.3188,10.9807,12.1143,6.4221,11.1549,7.6825,3.0508,5.5352,10.6168,12.2526,2.827,6.4111,14.0454,8.0276,11.2153,1,1,0,1,0,0,0,normal
reviewed-anomalies-2026-09-0010,65.5609,71.1925,67.2188,72.847,68.4451,65.1271,74.4716,73.2878,70.4063,69.6945,65.487,69.9364,69.9472,72.5027,70.4212,71.4755,69.3682,69.8597,66.1473,66.5295,71.3125,10732,80,1,1,1,67.5382,66.0275,69.2112,72.0402,71.8825,66.0219,76.1043,72.1198,73.6911,71.4943,66.2866,69.3125,67.9291,67.5072,72.4502,1,1,1,0,0,0,0,suspicious
