flow_duration,packets_forward,packets_backward,bytes_forward,bytes_backward,packet_size_mean,packet_size_min,packet_size_max,packet_size_stddev,forward_packet_size_mean,backward_packet_size_mean,packets_per_second,bytes_per_second,forward_packets_per_second,backward_packets_per_second,interarrival_mean,interarrival_min,interarrival_max,interarrival_stddev,forward_interarrival_mean,backward_interarrival_mean,source_port,destination_port,protocol_tcp,protocol_udp,protocol_icmp,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_urg_count,syn_ack_ratio,packet_direction_ratio,byte_direction_ratio,initial_tcp_window,average_tcp_window,down_up_bytes_ratio,small_packet_ratio,large_packet_ratio,average_payload_length,bidirectional_flag,internal_to_internal,internal_to_external,external_to_internal,external_to_external,dest_port_is_wellknown,snapshot_index,label
1.8533,799.898,548.773,878.681,248.531,1236.561,575.557,1184.419,1382.59,461.45,1488.371,307.419,984.416,1368.458,163.933,1230.656,598.109,98.015,1048.812,522.153,605.381,51234,22,0,1,0,691.401,1436.345,1193.58,470.592,1035.812,1372.65,1.3715,0.7946,0.6029,100.95,788.165,1.856,1.7319,0.1316,611.205,0,0,0,0,0,1,0,normal
0.5897,1123.667,1499.482,853.017,18.698,1405.303,500.388,858.163,343.208,68.749,1467.984,1089.812,460.948,1337.115,917.105,271.191,790.071,277.481,993.956,1119.546,1055.459,8080,53,0,1,1,1102.051,1197.591,966.998,392.669,1063.134,1421.756,2.7109,0.9481,0.2353,659.189,810.646,0.7591,0.1609,0.4499,523.83,0,1,1,0,0,1,0,scan
1.0419,102.614,528.632,1015.295,901.441,1076.066,287.283,726.1,919.758,829.232,239.589,1067.096,1264.017,589.426,291.798,1144.095,937.348,626.291,238.639,703.815,1046.482,22,80,0,0,1,460.41,1414.464,819.181,1171.202,1310.995,337.642,0.9158,1.3202,1.1372,954.824,216.104,2.461,2.2878,0.7101,1219.668,0,1,0,1,0,1,0,dos_ddos
1.4752,1229.282,1362.435,1494.721,55.719,1414.873,871.74,293.335,666.469,1000.495,451.943,737.464,1075.474,533.483,492.588,415.15,1453.913,1021.069,1009.562,228.812,1155.491,51234,51234,0,1,1,23.766,222.2,1466.68,1372.807,973.955,922.903,2.7915,2.2056,0.0626,1186.088,243.487,2.2555,1.9434,2.1326,1198.835,1,1,1,1,0,1,0,brute_force
1.0592,945.352,1177.478,121.765,23.015,448.895,989.448,290.613,1026.382,159.811,239.194,963.775,607.027,893.472,1384.505,1342.003,645.943,1020.855,623.551,1277.25,692.503,51234,443,0,0,0,1272.365,992.017,541.357,870.447,41.538,1405.668,2.0373,2.8564,0.1776,825.315,172.599,1.9561,1.1948,0.835,843.248,1,0,0,1,1,1,0,botnet_c2
1.1147,1151.022,483.62,1134.13,84.859,1139.201,80.398,1142.754,1201.354,934.757,595.786,260.593,745.105,1012.007,275.635,110.219,283.614,1449.542,959.539,1176.689,236.949,443,8080,0,0,0,655.235,637.705,1425.284,820.009,458.187,1070.794,1.8986,0.8446,2.9903,1316.022,550.182,2.9872,0.0741,1.0823,887.062,0,0,0,0,1,1,0,web_attack
2.9372,1201.309,0.182,966.02,1017.504,1454.896,1081.474,123.591,482.06,785.508,672.127,766.674,319.774,689.083,877.614,1285.532,544.763,557.68,217.058,161.546,1203.339,53,443,0,0,1,579.634,508.238,560.061,323.781,1236.44,1316.836,0.8062,1.623,0.2573,1393.211,726.552,0.4538,0.3256,0.6144,1349.477,0,0,0,0,0,0,0,suspicious
2.3622,185.484,298.852,94.425,772.798,932.208,858.39,567.776,1429.644,135.926,1218.027,1075.043,540.542,324.843,1052.132,1490.635,1364.773,1086.072,363.645,444.061,475.395,22,22,0,1,1,480.898,1033.145,963.372,811.534,883.365,803.943,0.1036,0.9678,2.4986,1402.409,642.318,2.6597,1.9302,1.7008,253.862,1,0,1,0,0,1,0,normal
2.2105,311.57,787.446,1014.384,928.282,843.986,1487.963,888.022,587.212,1119.22,267.798,392.352,193.887,964.847,405.969,785.537,158.993,933.579,196.13,1017.692,193.529,80,51234,0,1,1,1003.356,826.596,1164.032,454.421,577.645,582.178,1.5404,2.3016,0.307,1402.268,351.61,0.4597,2.101,2.1252,1102.913,0,0,0,1,0,1,0,scan
0.7415,891.226,455.2,515.178,461.82,916.71,1213.753,507.745,268.573,798.706,1475.65,593.296,150.311,635.018,343.961,1145.822,107.986,6.44,1077.716,275.367,399.984,8080,8080,1,1,1,265.224,2.393,957.07,470.348,41.34,428.67,0.6676,1.4322,0.3312,74.08,20.124,0.6973,1.8543,1.7412,423.481,1,0,0,1,1,1,0,dos_ddos
