id,flow_duration,packets_forward,packets_backward,bytes_forward,bytes_backward,packet_size_mean,packet_size_min,packet_size_max,packet_size_stddev,forward_packet_size_mean,backward_packet_size_mean,packets_per_second,bytes_per_second,forward_packets_per_second,backward_packets_per_second,interarrival_mean,interarrival_min,interarrival_max,interarrival_stddev,forward_interarrival_mean,backward_interarrival_mean,source_port,destination_port,protocol_tcp,protocol_udp,protocol_icmp,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_urg_count,syn_ack_ratio,packet_direction_ratio,byte_direction_ratio,initial_tcp_window,average_tcp_window,down_up_bytes_ratio,small_packet_ratio,large_packet_ratio,average_payload_length,bidirectional_flag,internal_to_internal,internal_to_external,external_to_internal,external_to_external,dest_port_is_wellknown,snapshot_index,label
thugs-0001,17.049,20.8444,19.0976,20.7787,17.3821,19.9062,20.7935,17.7798,20.2286,18.684,23.9638,22.3398,16.2405,18.9509,17.6515,18.9475,20.6531,21.1483,24.9065,23.1368,20.6045,39087,22,0,0,1,21.0381,21.0784,18.7514,19.1043,23.2775,15.0644,22.5911,19.4235,21.2112,20.623,18.5044,18.4019,22.0581,24.3593,20.9128,1,1,1,0,1,0,0,scan
thugs-0002,30.8248,30.6627,24.6935,31.0218,31.4306,31.4914,29.0999,27.7177,30.4861,30.269,29.6488,31.8204,37.8056,28.035,31.5868,28.4423,29.3659,22.9129,31.9457,33.1144,30.4224,19336,80,0,1,1,27.8601,28.9058,22.6934,29.4974,30.3055,26.5667,31.4071,24.7775,30.6664,35.5125,29.4797,28.8831,35.1056,33.5785,31.853,1,0,1,1,0,0,0,dos_ddos
thugs-0003,39.8116,39.2523,42.2279,40.8398,37.8347,36.6405,40.9812,36.5682,34.4707,32.6934,41.4292,39.7434,40.3221,40.5651,37.9813,43.2229,40.2821,40.8997,41.0003,39.4686,44.385,13188,53,0,1,1,45.078,37.4906,32.4362,41.8841,38.21,36.6255,36.5701,38.0363,42.462,37.4983,37.1731,39.0923,40.737,42.626,37.4536,1,1,1,1,1,1,0,brute_force
thugs-0004,62.7654,59.3349,55.4429,57.5425,56.0638,59.604,56.6234,64.7907,52.6716,62.5516,59.2138,59.8659,59.5397,63.7144,60.8643,58.6053,61.0016,58.4743,54.8344,63.1478,63.1112,46795,53,0,1,1,61.9687,57.5404,59.1117,58.8408,58.4333,58.6075,58.5876,60.8096,61.9298,60.2102,61.0957,59.3544,52.7917,60.2515,62.6673,1,0,1,1,1,1,0,web_attack
thugs-0005,49.5075,55.9377,49.8474,46.7967,48.0327,48.6502,46.1357,48.0982,51.0215,52.2784,48.9413,54.6408,50.3483,44.6585,50.1718,53.0713,51.3211,48.2588,48.3537,53.7045,51.1634,45070,53,0,1,0,50.6797,50.0233,49.6726,49.2391,52.2831,50.3365,50.8425,51.0182,50.4603,48.5227,50.4502,49.975,48.566,43.1992,47.1938,0,1,1,1,1,1,0,botnet_c2
thugs-0006,17.0592,23.7574,21.8509,17.7726,20.0286,23.6842,23.1325,18.5868,23.1725,25.1516,19.2081,14.6725,22.728,18.945,21.3936,27.2127,24.2352,16.4257,15.4834,15.6802,14.8183,19706,443,0,0,1,27.2278,18.9932,18.6647,18.0731,20.864,21.603,22.4779,17.6237,17.183,24.5454,19.9702,22.2918,18.3997,21.5885,16.2422,0,1,1,1,1,0,0,scan
thugs-0007,28.287,33.1569,28.9089,32.609,30.2605,29.0597,33.3203,28.4663,27.2133,29.6591,32.0555,33.2049,34.1512,30.9827,32.6145,31.6868,30.4536,28.6342,34.4261,28.5644,25.6472,41665,53,1,0,0,26.2954,29.2286,30.4949,25.6246,26.8876,29.9518,30.0917,25.1892,29.9127,26.0548,27.6407,32.5366,32.5449,31.2119,28.183,1,1,0,0,1,1,0,dos_ddos
thugs-0008,42.6378,42.0891,38.6117,41.1705,43.1045,40.0369,38.9973,45.3741,41.6553,37.2546,34.8849,40.8886,42.2545,37.9555,40.5986,41.1655,36.1236,40.2773,39.1467,37.6546,39.264,2886,443,1,0,0,36.5442,38.6896,34.4404,38.4401,38.4582,43.2235,40.4133,39.6003,42.6232,43.568,41.4484,40.0311,34.0073,39.8516,37.7656,0,1,1,0,1,1,0,brute_force
thugs-0009,55.9506,54.1577,61.0835,59.373,62.5087,60.9026,54.048,58.7887,60.4748,57.2309,62.6251,59.3782,55.2591,59.4,62.0423,62.134,63.2308,57.9969,64.9117,58.0879,61.6772,9985,22,1,0,1,57.9234,58.0436,67.2339,59.1726,59.8361,54.473,55.92,60.9401,62.6548,62.6027,54.1485,57.1028,62.3288,61.4235,62.9986,1,1,1,0,1,0,0,web_attack
thugs-0010,48.4892,47.6409,50.7046,49.6918,51.5775,50.6783,47.4657,49.2393,44.2947,53.8918,47.6555,45.3869,50.0859,57.1134,48.4249,50.8721,53.9493,46.5177,52.6862,54.4881,49.7559,46427,3389,0,0,1,50.9262,50.4796,56.6088,48.1064,51.8072,53.3852,48.1882,51.2734,47.1463,48.9858,43.9114,49.3697,49.8652,52.0438,50.27,0,0,0,1,0,0,0,botnet_c2
