id,flow_duration,packets_forward,packets_backward,bytes_forward,bytes_backward,packet_size_mean,packet_size_min,packet_size_max,packet_size_stddev,forward_packet_size_mean,backward_packet_size_mean,packets_per_second,bytes_per_second,forward_packets_per_second,backward_packets_per_second,interarrival_mean,interarrival_min,interarrival_max,interarrival_stddev,forward_interarrival_mean,backward_interarrival_mean,source_port,destination_port,protocol_tcp,protocol_udp,protocol_icmp,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,tcp_urg_count,syn_ack_ratio,packet_direction_ratio,byte_direction_ratio,initial_tcp_window,average_tcp_window,down_up_bytes_ratio,small_packet_ratio,large_packet_ratio,average_payload_length,bidirectional_flag,internal_to_internal,internal_to_external,external_to_internal,external_to_external,dest_port_is_wellknown,snapshot_index,label
v9-0001,9.8911,11.307,12.3423,11.9741,9.2623,10.1942,12.3756,8.2645,8.222,11.7676,14.83,0.681,9.7186,7.6674,10.6697,8.7768,9.5217,11.0834,10.5037,12.0092,8.5057,62425,22,0,1,1,11.0589,7.2242,8.7132,12.7919,7.0685,8.416,13.5278,15.6616,3.6019,6.1892,9.8993,10.1641,9.5741,9.7677,2.7158,1,1,1,1,1,0,0,normal
v9-0002,7.4576,12.3698,7.5162,12.5263,11.4399,10.7852,10.059,11.7176,12.4266,9.987,12.407,6.5799,7.6137,10.5939,16.1532,8.3466,9.9478,7.8989,5.2914,11.0158,8.9687,6887,80,0,0,1,12.481,9.8694,9.9446,9.2379,8.2842,10.8395,5.1834,10.8319,10.5713,9.8299,11.1273,13.9109,10.4106,6.129,6.8664,0,1,1,1,0,1,0,normal
v9-0003,7.7369,9.382,9.1539,7.0923,11.828,12.2794,4.9163,13.3564,13.0698,16.1128,11.1664,13.7399,9.4905,8.6917,13.938,9.0201,8.6428,10.5294,10.4153,8.6328,12.6235,24669,3389,1,0,0,13.6226,16.6744,11.2554,9.2029,4.2803,4.5824,10.0809,7.3627,11.4645,13.1236,10.8713,6.4114,5.596,6.98,12.5544,0,0,0,0,0,1,0,normal
v9-0004,14.2243,4.4007,10.6282,14.6716,5.0052,9.6665,10.0018,3.5768,10.8771,10.2352,7.0028,12.2692,3.9027,3.7372,13.2582,11.1457,6.995,7.5451,4.446,6.393,5.8757,1184,22,1,1,1,13.2731,5.1545,13.8858,11.0784,8.5571,12.5995,15.5651,9.5129,9.4494,8.7302,4.0551,13.9434,11.7679,11.4341,11.9185,1,1,0,1,0,0,0,normal
v9-0005,8.0726,14.1904,9.536,8.25,4.7505,5.6857,10.1675,10.9848,11.4952,8.0019,8.6448,11.922,6.7198,4.5995,10.3479,11.1591,5.6893,15.7093,8.5686,8.0276,14.0984,28174,80,0,1,0,12.8955,8.856,7.5057,14.116,12.8757,8.0436,8.621,12.2777,7.6631,7.8845,6.5475,10.3973,10.3306,13.5703,8.4966,0,1,1,0,0,0,0,normal
v9-0006,9.4284,5.4054,8.9188,9.4933,8.8339,12.1856,10.4464,11.6282,12.3443,10.5465,13.5122,10.8406,9.7142,7.3323,14.3702,12.9899,9.4217,10.2673,8.2402,8.1917,6.9924,55880,80,1,0,0,8.2102,8.9227,15.0354,6.8203,10.6131,12.2419,7.5422,9.7875,11.8748,11.6289,7.1032,11.7018,6.0693,7.9335,7.5818,0,0,1,0,0,0,0,normal
v9-0007,6.713,0.0281,4.9567,8.3113,7.9069,5.5662,12.3364,11.0257,8.0423,7.7013,11.0234,6.1445,11.4149,10.3422,5.8584,10.7266,12.9726,12.9523,5.4686,10.3809,11.3499,4976,443,1,0,1,9.5696,8.1629,6.1187,11.7342,6.5241,6.6098,6.1617,8.8737,13.7369,12.5968,8.5418,8.3923,13.3051,6.7769,12.2408,1,1,1,1,0,0,0,normal
v9-0008,8.3872,7.6116,13.5351,12.3425,11.3434,7.2783,13.8161,5.296,7.3634,9.0052,9.0688,12.8257,10.0267,13.858,5.6476,9.472,13.4467,6.798,8.4149,7.7637,13.5075,48994,80,1,1,1,18.5642,11.9903,9.3446,11.8112,12.2897,7.5397,8.9338,7.8759,7.2789,13.7933,6.2753,9.4826,9.7982,5.6525,10.2794,0,1,0,1,1,1,0,normal
v9-0009,70.1463,69.3138,69.3849,69.2219,69.4566,66.7733,69.7365,68.7584,68.6043,68.0221,73.7722,73.467,66.9288,69.0818,69.7431,73.0285,70.1566,72.6027,73.6952,69.065,67.9196,46623,80,0,0,0,72.2843,70.523,72.0761,66.8013,70.1068,63.5717,71.217,69.9588,68.6657,74.1946,70.4158,73.0816,71.1588,68.7278,70.7981,0,1,0,0,1,0,0,suspicious
v9-0010,9.2008,8.8028,11.795,13.4949,5.169,7.946,11.2948,8.2067,9.4522,9.8078,10.6164,11.6098,9.8015,11.3294,6.5015,8.7984,8.3809,12.8134,9.3256,11.711,3.7553,15305,22,1,0,0,7.433,10.4524,8.6747,5.9238,12.2551,10.8546,10.9031,11.2921,8.4365,10.3076,7.8123,11.5841,5.7082,15.5264,11.5451,0,1,1,0,1,0,0,normal
